"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"546","Medical",NA,526,"2010",1
"547","Biology",NA,2749,"2000",1
"548","Biology",8380080,341,"2010",0
"549","Medical",NA,1285,"2000",1
"550","Medical",NA,817,"2000",1
"551","Medical",NA,313,"2005",0
"552","Technology",NA,297,"2005",1
"553","Medical",NA,3460,"1980",1
"554","Medical",2372766,276,"2000",1
"555","Medical",4634785,6932,"1990",1
"556","Medical",NA,6706,"1995",1
"557","Medical",NA,23716,"1985",1
"558","Biology",413510,1665,"2000",1
"559","Medical",NA,439,"2010",1
"560","Medical",NA,7374,"1970",1
"561","Medical",NA,1054,"1995",0
"562","Medical",NA,5510,"1985",1
"563","Medical",NA,1876,"2005",1
"564","Medical",NA,244,"2010",1
"565","Biology",NA,9843,"1985",1
"566","Medical",2526186,2829,"1995",0
"567","Medical",NA,710,"2000",0
"568","Medical",NA,205,"2010",1
"569","Medical",NA,1374,"2010",0
"570","Biology",NA,3509,"2010",0
"571","Medical",NA,388,"2005",0
"572","Medical",NA,407,"2000",0
"573","Biology",9534205,15986,"1995",0
"574","Biology",NA,15285,"1985",1
"575","Medical",NA,2810,"2000",1
"576","Biology",NA,4037,"1995",1
"577","Biology",NA,982,"1995",0
"578","Medical",NA,953,"2005",1
"579","Technology",NA,910,"1990",0
"580","Biology",16556373,12691,"1980",1
"581","Medical",NA,378,"2005",1
"582","Medical",NA,1750,"1995",1
"583","Biology",NA,182,"2010",0
"584","Biology",NA,1021,"2005",0
"585","Medical",NA,3386,"2000",1
"586","Medical",NA,8834,"2005",1
"587","Biology",NA,1630,"2000",1
"588","Technology",NA,564,"2000",1
"589","Medical",316947,1567,"1995",1
"590","Technology",667974,5367,"1990",1
"591","Medical",NA,848,"2005",1
"592","Medical",NA,2231,"1990",1
"593","Medical",NA,1910,"1995",1
"594","Biology",NA,1227,"2000",1
"595","Biology",127118,2320,"2005",1
"596","Medical",NA,524,"1990",0
"597","Biology",NA,3987,"1970",1
"598","Medical",NA,410,"2005",0
"599","Biology",NA,763,"2000",1
"600","Biology",NA,1039,"2005",1
"601","Medical",2461927,22032,"1995",1
"602","Biology",NA,84942,"1995",1
"603","Biology",NA,1103,"2000",1
"604","Medical",NA,311,"2010",0
"605","Biology",NA,2732,"1995",0
"606","Medical",664125,1036,"2005",1
"607","Medical",6401635,2901,"1995",1
"608","Medical",NA,175,"2010",1
"609","Technology",NA,4905,"1985",1
"610","Medical",NA,8877,"1975",1
"611","Technology",2744145,54668,"1970",1
"612","Medical",NA,5223,"2000",1
"613","Biology",NA,3251,"1985",0
"614","Medical",2146314,211,"2015",0
"615","Medical",NA,2694,"2000",1
"616","Technology",NA,4001,"1990",0
"617","Biology",NA,6175,"1995",1
"618","Technology",NA,523,"1995",1
"619","Medical",12643771,4900,"1995",0
"620","Medical",NA,651,"2010",1
"621","Technology",NA,181,"2010",1
"622","Biology",NA,1437,"2010",0
"623","Biology",8735234,1029,"1995",1
"624","Medical",NA,4168,"1990",1
"625","Medical",9566715,235,"2005",0
"626","Medical",NA,1589,"1990",1
"627","Biology",NA,1422,"1995",1
"628","Biology",NA,29,"2005",0
"629","Medical",426085,2005,"1995",1
"630","Biology",NA,501,"2005",1
"631","Medical",NA,1082,"2010",1
"632","Biology",NA,360,"2010",1
"633","Medical",NA,379,"2010",1
"634","Biology",NA,2930,"2000",1
"635","Biology",NA,146,"2005",1
"636","Medical",NA,185,"2010",0
"637","Medical",NA,7241,"1995",1
"638","Biology",NA,209,"2015",0
"639","Medical",297276,3271,"2005",1
"640","Medical",NA,346,"2005",0
"641","Medical",NA,5118,"1990",0
"642","Biology",NA,2112,"1995",1
"643","Medical",NA,3856,"1985",1
"644","Biology",NA,2796,"1995",1
"645","Medical",NA,3314,"2000",1
"646","Medical",NA,2176,"1990",0
"647","Technology",NA,20958,"1980",1
"648","Medical",NA,981,"2005",1
"649","Medical",147287,3711,"2000",1
"650","Biology",NA,614,"2000",1
"651","Biology",34267,952,"2005",1
"652","Biology",56038,2609,"1980",1
"653","Medical",NA,5025,"1995",1
"654","Medical",NA,404,"2005",0
"655","Medical",NA,2150,"2000",1
"656","Biology",NA,597,"2005",1
"657","Medical",19436946,214,"2010",1
"658","Medical",NA,4509,"1985",0
"659","Medical",NA,102,"2010",1
"660","Medical",1332900,408,"2010",0
"661","Biology",NA,533,"2010",1
"662","Medical",NA,409,"2005",1
"663","Medical",NA,625,"2000",1
"664","Biology",NA,494,"1995",1
"665","Medical",NA,1568,"2000",1
"666","Medical",NA,5422,"1990",1
"667","Medical",NA,446,"2010",0
"668","Medical",NA,118,"2010",0
"669","Biology",NA,84,"2015",0
"670","Medical",NA,1140,"2000",1
"671","Medical",NA,3227,"1995",1
"672","Medical",688791,1869,"1995",1
"673","Technology",NA,393,"2010",1
"674","Medical",NA,2631,"2005",1
"675","Technology",NA,1766,"2000",1
"676","Biology",NA,4022,"1985",1
"677","Medical",523861,5984,"1990",1
"678","Medical",NA,9186,"1985",1
"679","Medical",NA,444,"2010",0
"680","Medical",NA,3168,"2005",1
"681","Biology",NA,2120,"1985",1
"682","Medical",NA,527,"2005",1
"683","Biology",91585,426,"2000",1
"684","Medical",NA,986,"2000",0
"685","Medical",NA,973,"1990",1
"686","Medical",8334011,430,"2000",0
"687","Technology",NA,566,"2010",1
"688","Biology",NA,36646,"1990",1
"689","Biology",NA,483,"1985",0
"690","Medical",872981,1580,"2005",0
"691","Medical",NA,682,"2005",1
"692","Biology",NA,783,"2000",1
"693","Medical",NA,4360,"2000",1
"694","Medical",NA,595,"2005",0
"695","Biology",1377487,695,"2005",1
"696","Biology",177065,22055,"1995",1
"697","Biology",1266286,1414,"2000",1
"698","Biology",NA,28,"2015",1
"699","Medical",NA,9300,"1985",1
"700","Medical",NA,1539,"1995",1
"701","Medical",3350,2338,"1990",1
"702","Medical",18040285,2055,"2000",1
"703","Medical",NA,349,"2005",1
"704","Biology",23439382,11971,"2010",1
"705","Medical",NA,2127,"1995",1
"706","Biology",NA,2916,"1985",1
"707","Biology",NA,2310,"1990",1
"708","Biology",NA,1457,"2000",1
"709","Medical",NA,10761,"1990",0
"710","Medical",NA,133,"2010",0
"711","Technology",NA,3499,"2000",1
"712","Medical",NA,3264,"1985",1
"713","Technology",NA,601,"2005",0
"714","Biology",NA,737,"1980",1
"715","Biology",NA,1670,"1990",0
"716","Biology",NA,3230,"2010",1
"717","Biology",NA,1712,"1995",1
"718","Biology",NA,525,"2000",1
