"Id","dept_rank","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"265",NA,"Medical",237037,985,"2005",1
"266",NA,"Medical",NA,1567,"2000",1
"267",NA,"Biology",9948,2712,"2005",1
"268",38,"Biology",NA,49071,"1980",1
"269",NA,"Biology",NA,7169,"2000",1
"270",3,"Medical",488508,2395,"2005",1
"271",NA,"Medical",NA,2798,"2005",1
"272",8,"Medical",NA,33972,"1985",1
"273",NA,"Biology",NA,2413,"2005",1
"274",NA,"Biology",NA,2825,"2005",1
"275",120,"Biology",NA,3128,"2000",1
"276",23,"Biology",20091,774,"2005",1
"277",NA,"Biology",1545958,17767,"1985",1
"278",78,"Medical",NA,9894,"1985",1
"279",NA,"Biology",NA,968,"2005",0
"280",NA,"Biology",47573387,20683,"1970",1
"281",NA,"Medical",NA,1825,"2005",1
"282",12,"Medical",2802266,6822,"1995",1
"283",NA,"Biology",NA,361,"2005",0
"284",1,"Medical",NA,1976,"2000",1
"285",43,"Medical",NA,2116,"2005",1
"286",8,"Biology",2423798,6099,"2000",1
"287",NA,"Biology",497974,282,"2005",0
"288",NA,"Technology",NA,1550,"1995",1
"289",13,"Medical",NA,1872,"2000",1
"290",50,"Medical",NA,1550,"2000",1
"291",52,"Medical",NA,1945,"2005",1
"292",13,"Medical",498539,2261,"2000",1
"293",8,"Medical",NA,2100,"2005",1
"294",2,"Medical",400917,2893,"2005",1
"295",19,"Medical",NA,5234,"2005",1
"296",NA,"Biology",121121,7722,"1980",0
"297",NA,"Biology",NA,880,"1995",1
"298",NA,"Biology",1697018,7639,"1995",0
"299",318,"Biology",NA,380,"2005",1
"300",NA,"Biology",NA,405,"2005",1
"301",NA,"Biology",NA,5014,"2000",1
"302",65,"Medical",NA,716,"2005",0
"303",136,"Biology",NA,542,"2005",1
"304",3,"Biology",NA,5357,"2005",1
"305",NA,"Biology",NA,342,"2005",1
"306",3,"Medical",NA,1043,"2005",1
"307",NA,"Biology",NA,690,"2005",1
"308",140,"Biology",26568432,105509,"1965",1
"309",23,"Biology",59904,802,"2005",1
"310",NA,"Medical",NA,1353,"2005",0
"311",3,"Medical",NA,6017,"2000",1
"312",23,"Biology",NA,1337,"2005",1
"313",NA,"Biology",828860,575,"2005",0
"314",NA,"Technology",NA,523,"2005",1
"315",81,"Biology",NA,2045,"2005",1
"316",16,"Medical",NA,3990,"2005",1
"317",46,"Biology",NA,3984,"1995",1
"318",2,"Medical",NA,876,"2005",1
"319",NA,"Medical",NA,816,"2005",0
"320",NA,"Medical",NA,329,"2005",0
"321",10,"Biology",11071042,1042,"2005",1
"322",52,"Medical",NA,1439,"2005",1
"323",8,"Medical",NA,161,"2005",1
"324",22,"Biology",NA,939,"2005",1
"325",19,"Medical",NA,1644,"2005",1
"326",52,"Technology",2274221,1084,"2005",1
"327",NA,"Biology",NA,380,"2005",0
"328",12,"Medical",NA,1217,"2005",1
"329",NA,"Biology",NA,9346,"2005",1
"330",16,"Biology",2759375,4144,"2005",1
"331",30,"Medical",487441,622,"2000",1
"332",38,"Medical",NA,550,"2005",0
"333",78,"Medical",NA,312,"2005",1
"334",13,"Medical",NA,3975,"2005",1
"335",1,"Biology",223952,1451,"2005",1
"336",NA,"Medical",NA,1883,"2005",1
"337",NA,"Biology",NA,628,"2005",1
"338",19,"Medical",NA,22539,"1970",1
"339",318,"Biology",5064878,5708,"1985",1
"340",112,"Biology",51652,3471,"1985",1
"341",2,"Medical",NA,554,"2005",1
"342",90,"Biology",NA,2457,"2005",0
"343",39,"Biology",500000,5154,"1985",1
"344",NA,"Medical",NA,2762,"2000",1
"345",NA,"Biology",NA,4070,"2005",1
"346",16,"Medical",898314,2486,"1980",1
"347",19,"Medical",NA,1151,"2005",1
"348",111,"Technology",NA,1550,"2000",1
"349",3,"Medical",1406821,25806,"1970",1
"350",163,"Biology",NA,9500,"1975",1
"351",NA,"Medical",NA,814,"2000",1
"352",152,"Biology",NA,8554,"1970",1
"353",NA,"Biology",NA,528,"2005",0
"354",NA,"Biology",NA,1519,"2005",1
"355",84,"Medical",NA,1334,"2005",1
"356",52,"Medical",NA,742,"2005",1
"357",8,"Medical",129745,2972,"2005",1
"358",57,"Biology",NA,432,"2005",1
"359",2,"Medical",NA,3784,"2005",1
"360",8,"Medical",NA,902,"2010",1
"361",43,"Medical",NA,310,"2005",1
"362",NA,"Medical",NA,526,"2005",1
"363",38,"Medical",NA,1787,"2005",1
"364",NA,"Medical",NA,952,"2005",1
"365",60,"Biology",NA,1353,"2005",1
"366",NA,"Biology",NA,1796,"2000",0
"367",1,"Technology",NA,1031,"2005",1
"368",NA,"Biology",NA,426,"2005",1
"369",123,"Biology",437402,1420,"2000",1
"370",22,"Biology",NA,1001,"2005",1
"371",2,"Biology",NA,8262,"1980",1
"372",150,"Medical",NA,318,"2005",1
"373",NA,"Biology",365259,778,"1995",0
"374",48,"Biology",NA,1919,"2005",1
"375",3,"Medical",NA,2149,"2005",0
"376",18,"Biology",NA,1409,"2005",1
"377",NA,"Biology",525059,64916,"1965",1
"378",13,"Biology",NA,7431,"1975",1
"379",NA,"Biology",NA,10480,"1975",1
"380",NA,"Medical",NA,16470,"1970",1
"381",62,"Biology",2739596,6693,"1975",1
"382",70,"Medical",NA,730,"2005",1
"383",NA,"Biology",NA,326,"2005",1
"384",64,"Biology",NA,770,"2005",1
"385",17,"Biology",1347093,11023,"1985",1
"386",2,"Medical",NA,10638,"1975",0
"387",NA,"Biology",NA,660,"2000",1
"388",12,"Medical",NA,794,"2005",0
"389",9,"Biology",NA,1370,"2005",1
"390",16,"Medical",129491,1280,"2005",1
"391",27,"Biology",NA,1617,"2010",1
"392",NA,"Biology",NA,2115,"2005",1
"393",9,"Medical",NA,3859,"2000",1
"394",NA,"Biology",5022098,3091,"2000",1
"395",NA,"Medical",NA,810,"1995",1
"396",217,"Biology",NA,572,"2005",0
"397",NA,"Medical",NA,16554,"1990",1
"398",NA,"Medical",NA,2658,"2005",1
"399",21,"Medical",NA,363,"2005",1
"400",NA,"Biology",NA,914,"2000",1
"401",93,"Biology",NA,319,"2005",1
"402",NA,"Biology",NA,7659,"1985",1
"403",9,"Medical",NA,355,"2005",0
"404",140,"Biology",NA,660,"2005",1
"405",2,"Biology",NA,39326,"1985",1
"406",NA,"Biology",NA,1169,"2005",0
"407",96,"Biology",413676,349,"2005",1
"408",27,"Biology",NA,349,"1995",1
"409",NA,"Biology",NA,654,"2005",1
"410",7,"Biology",NA,1359,"2005",1
"411",2,"Biology",NA,1202,"2005",1
"412",NA,"Medical",NA,636,"2005",1
"413",NA,"Biology",NA,1573,"2005",1
"414",NA,"Biology",NA,724,"2005",1
"415",10,"Technology",NA,801,"2005",1
"416",27,"Medical",NA,3259,"1990",1
"417",NA,"Medical",NA,11191,"1990",1
"418",47,"Biology",NA,1240,"2005",1
"419",30,"Medical",119424,474,"2005",1
"420",90,"Biology",1646842,54453,"1970",1
"421",163,"Biology",4061797,26659,"1975",1
"422",46,"Biology",4194323,21956,"1965",0
"423",3,"Medical",22321,706,"2005",0
"424",16,"Biology",8795916,2721,"1980",1
"425",NA,"Medical",NA,958,"2005",1
"426",NA,"Biology",NA,833,"2005",1
"427",159,"Biology",NA,245,"2005",1
"428",NA,"Biology",NA,5781,"2005",1
"429",33,"Biology",2937944,17225,"1975",1
"430",12,"Biology",NA,1500,"2005",1
"431",NA,"Biology",1479275,3316,"1995",1
"432",51,"Biology",2810766,514,"2005",1
"433",NA,"Biology",NA,2172,"2005",1
"434",8,"Biology",848590,3098,"1980",1
"435",3,"Medical",NA,461,"2000",1
"436",NA,"Biology",3700192,23854,"1965",1
"437",NA,"Biology",NA,8162,"2000",1
"438",26,"Biology",NA,1530,"2005",1
"439",12,"Medical",5797735,9867,"1985",1
"440",NA,"Biology",NA,5913,"2005",1
"441",NA,"Biology",91412,47789,"1980",1
"442",NA,"Medical",NA,5544,"1980",0
"443",16,"Medical",NA,17238,"1980",1
"444",78,"Medical",NA,614,"2005",1
"445",6,"Biology",NA,663,"2005",1
"446",103,"Biology",NA,997,"2005",1
"447",16,"Medical",NA,1895,"2005",1
"448",190,"Biology",352162,1043,"1995",1
"449",7,"Biology",764092,710,"2005",1
"450",NA,"Biology",NA,829,"2005",1
"451",13,"Biology",931946,1566,"1995",1
"452",13,"Biology",NA,1412,"2005",1
"453",146,"Biology",NA,1999,"2005",1
"454",78,"Medical",NA,469,"2000",1
"455",NA,"Biology",3825713,20481,"1995",1
"456",NA,"Medical",NA,26367,"1990",1
"457",NA,"Biology",NA,15070,"1985",1
"458",1,"Biology",NA,25167,"1985",1
"459",NA,"Medical",11217,15223,"1985",1
"460",1,"Medical",NA,9665,"1985",1
"461",NA,"Technology",1585763,16197,"1985",1
"462",NA,"Biology",47917688,14849,"1985",1
"463",NA,"Biology",NA,6777,"1975",1
"464",51,"Biology",27095269,6428,"1990",1
"465",57,"Biology",3739046,20527,"1985",1
"466",3,"Biology",NA,7838,"1975",1
"467",16,"Biology",NA,8886,"1995",1
"468",90,"Biology",469324,6086,"1970",1
"469",21,"Medical",149999,6094,"2000",1
"470",123,"Biology",NA,794,"1995",0
"471",NA,"Biology",10384552,7532,"1985",1
"472",10,"Technology",125639,4729,"1985",1
"473",3,"Medical",NA,17668,"1985",1
"474",26,"Biology",NA,7210,"1995",1
"475",112,"Biology",16788695,5088,"1985",1
"476",NA,"Biology",365987,455,"2005",1
"477",16,"Medical",NA,3733,"1995",0
"478",NA,"Biology",NA,2072,"2005",1
"479",2,"Medical",NA,739,"2010",1
"480",NA,"Medical",NA,61902,"1985",1
"481",50,"Medical",NA,1593,"2005",1
"482",NA,"Medical",NA,1667,"2005",1
"483",57,"Biology",NA,887,"2005",1
"484",NA,"Medical",487697,947,"1995",1
"485",78,"Medical",10607191,19257,"1985",1
"486",19,"Medical",NA,1027,"2005",1
"487",NA,"Biology",2668592,1705,"2000",0
"488",NA,"Medical",NA,1098,"2000",1
"489",16,"Biology",NA,349,"2005",1
"490",8,"Medical",NA,626,"2005",1
"491",13,"Medical",NA,1347,"2005",1
"492",22,"Biology",NA,4611,"2005",1
"493",NA,"Medical",13559244,20428,"1965",1
"494",98,"Biology",8517732,1045,"2000",1
"495",NA,"Biology",NA,6799,"2000",1
"496",90,"Biology",NA,1083,"2000",1
"497",3,"Medical",72199248,8762,"1990",1
"498",312,"Biology",7141564,3990,"1990",1
"499",NA,"Biology",NA,491,"2005",0
"500",178,"Biology",NA,1282,"2005",1
"501",93,"Biology",NA,6315,"2005",1
"502",NA,"Medical",NA,8272,"1990",1
"503",NA,"Medical",NA,1569,"2000",1
"504",NA,"Biology",NA,13003,"2000",1
"505",64,"Technology",NA,192,"2005",1
"506",3,"Medical",NA,283,"2005",1
"507",13,"Biology",NA,3409,"2005",1
"508",NA,"Biology",NA,1323,"2005",1
"509",2,"Medical",NA,17680,"1995",1
"510",3,"Medical",NA,7370,"2000",1
"511",98,"Biology",NA,10943,"1995",1
"512",NA,"Medical",NA,1331,"1995",1
"513",NA,"Biology",NA,6897,"2000",1
"514",16,"Biology",NA,4558,"2005",1
"515",26,"Biology",4680265,11750,"2005",1
"516",51,"Biology",2918899,1490,"1980",1
"517",26,"Biology",1951345,8126,"1980",1
"518",NA,"Biology",343963,496,"2005",1
"519",NA,"Medical",NA,884,"2005",1
"520",NA,"Technology",169933,1544,"2005",1
"521",16,"Biology",NA,1237,"2000",1
"522",67,"Biology",NA,2312,"2005",1
"523",30,"Medical",NA,1923,"2005",1
"524",1,"Biology",NA,769,"2005",1
"525",196,"Biology",784154,5673,"1995",1
"526",NA,"Medical",NA,1105,"2005",0
"527",NA,"Biology",NA,16087,"1985",1
"528",NA,"Medical",NA,8279,"1990",1
"529",NA,"Biology",NA,889,"2005",1
"530",40,"Technology",3439488,4349,"2000",1
"531",52,"Medical",NA,1675,"1990",0
"532",66,"Biology",NA,2728,"2005",1
"533",2,"Medical",NA,235,"2005",1
"534",NA,"Biology",5934768,16059,"1980",1
"535",NA,"Medical",1307327,1349,"2005",1
"536",NA,"Biology",NA,367,"2005",1
"537",56,"Medical",868742,5072,"2005",1
"538",3,"Medical",NA,10296,"1995",1
"539",1,"Biology",22753775,39646,"2000",1
"540",131,"Biology",NA,15097,"1980",1
"541",2,"Medical",NA,10623,"1990",1
"542",52,"Medical",266853,4868,"1995",1
"543",4,"Biology",NA,2805,"2000",1
"544",178,"Biology",33072313,5929,"1985",1
"545",4,"Biology",NA,797,"2010",0
"546",NA,"Biology",NA,566,"2005",1
"547",NA,"Medical",NA,2420,"2000",1
"548",6,"Medical",NA,5883,"1995",1
"549",139,"Medical",1075886,13694,"2000",1
"550",43,"Medical",126972,2575,"1980",1
"551",12,"Medical",NA,4853,"1990",1
"552",65,"Medical",690493,296,"1995",1
"553",6,"Medical",NA,749,"2005",0
"554",NA,"Biology",NA,12674,"1990",1
"555",9,"Biology",NA,271,"2005",1
"556",NA,"Biology",266869,2960,"2010",1
