Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
286,,,8,Biology,2423798,6099,2000,1,0.00013
287,,,NA,Biology,497974,282,2005,0,0.00013
288,,,NA,Technology,NA,1550,1995,1,0.00013
289,,,13,Medical,NA,1872,2000,1,0.00013
290,,,50,Medical,NA,1550,2000,1,0.000599
291,,,52,Medical,NA,1945,2005,1,0.00013
292,,,13,Medical,498539,2261,2000,1,0.00013
293,,,8,Medical,NA,2100,2005,1,0.00013
294,,,2,Medical,400917,2893,2005,1,0.00013
295,,,19,Medical,NA,5234,2005,1,0.00013
296,,,NA,Biology,121121,7722,1980,0,0.00013
297,,,NA,Biology,NA,880,1995,1,0.00013
298,,,NA,Biology,1697018,7639,1995,0,0.00013
299,,,318,Biology,NA,380,2005,1,0.00013
300,,,NA,Biology,NA,405,2005,1,0.00013
301,,,NA,Biology,NA,5014,2000,1,0.000331
302,,,65,Medical,NA,716,2005,0,0.00013
303,,,136,Biology,NA,542,2005,1,0.00013
304,,,3,Biology,NA,5357,2005,1,0.00013
305,,,NA,Biology,NA,342,2005,1,0.00013
306,,,3,Medical,NA,1043,2005,1,0.00013
307,,,NA,Biology,NA,690,2005,1,0.00013
308,,,140,Biology,26568432,105509,1965,1,0.00013
309,,,23,Biology,59904,802,2005,1,0.00013
310,,,NA,Medical,NA,1353,2005,0,0.00013
311,,,3,Medical,NA,6017,2000,1,0.00013
312,,,23,Biology,NA,1337,2005,1,0.00013
313,,,NA,Biology,828860,575,2005,0,0.00013
314,,,NA,Technology,NA,523,2005,1,0.00013
315,,,81,Biology,NA,2045,2005,1,0.00013
316,,,16,Medical,NA,3990,2005,1,0.000331
317,,,46,Biology,NA,3984,1995,1,0.000439
318,,,2,Medical,NA,876,2005,1,0.00013
319,,,NA,Medical,NA,816,2005,0,0.00013
320,,,NA,Medical,NA,329,2005,0,0.00013
321,,,10,Biology,11071042,1042,2005,1,0.000769
322,,,52,Medical,NA,1439,2005,1,0.00013
323,,,8,Medical,NA,161,2005,1,0.00013
324,,,22,Biology,NA,939,2005,1,0.00013
325,,,19,Medical,NA,1644,2005,1,0.00013
326,,,52,Technology,2274221,1084,2005,1,0.000481
327,,,NA,Biology,NA,380,2005,0,0.00013
328,,,12,Medical,NA,1217,2005,1,0.00013
329,,,NA,Biology,NA,9346,2005,1,0.00013
330,,,16,Biology,2759375,4144,2005,1,0.00013
331,,,30,Medical,487441,622,2000,1,0.00013
332,,,38,Medical,NA,550,2005,0,0.00013
333,,,78,Medical,NA,312,2005,1,0.00013
334,,,13,Medical,NA,3975,2005,1,0.00013
335,,,1,Biology,223952,1451,2005,1,0.00013
336,,,NA,Medical,NA,1883,2005,1,0.00013
337,,,NA,Biology,NA,628,2005,1,0.00013
338,,,19,Medical,NA,22539,1970,1,0.00013
339,,,318,Biology,5064878,5708,1985,1,0.00013
340,,,112,Biology,51652,3471,1985,1,0.00013
341,,,2,Medical,NA,554,2005,1,0.00013
342,,,90,Biology,NA,2457,2005,0,0.00013
343,,,39,Biology,5e+05,5154,1985,1,0.00013
344,,,NA,Medical,NA,2762,2000,1,0.00013
345,,,NA,Biology,NA,4070,2005,1,0.000331
346,,,16,Medical,898314,2486,1980,1,0.00013
347,,,19,Medical,NA,1151,2005,1,0.00013
348,,,111,Technology,NA,1550,2000,1,0.00013
349,,,3,Medical,1406821,25806,1970,1,0.00013
350,,,163,Biology,NA,9500,1975,1,0.00013
351,,,NA,Medical,NA,814,2000,1,0.00013
352,,,152,Biology,NA,8554,1970,1,0.00013
353,,,NA,Biology,NA,528,2005,0,0.000409
354,,,NA,Biology,NA,1519,2005,1,0.000574
