"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"659","Biology",4326845,12969,"1980",1
"660","Biology",NA,2169,"2000",1
"661","Medical",NA,4421,"1995",1
"662","Medical",NA,805,"1980",1
"663","Biology",NA,2849,"1985",1
"664","Biology",NA,2879,"1995",1
"665","Biology",NA,8714,"1980",1
"666","Biology",NA,942,"2000",0
"667","Biology",NA,704,"2010",1
"668","Biology",10876763,1159,"1995",0
"669","Biology",NA,164,"2010",1
"670","Biology",234700,799,"2005",1
"671","Biology",NA,111,"2005",1
"672","Biology",NA,752,"2010",1
"673","Biology",NA,742,"2010",0
"674","Biology",NA,332,"2010",0
"675","Biology",NA,1813,"2010",0
"676","Medical",NA,9470,"1975",1
"677","Biology",NA,179,"2000",1
"678","Biology",NA,553,"2005",1
"679","Biology",NA,697,"2010",1
"680","Biology",NA,851,"2010",0
"681","Biology",960117,12805,"1995",1
"682","Biology",NA,480,"2010",1
"683","Biology",NA,965,"2005",1
"684","Biology",NA,19902,"1990",1
"685","Biology",72854328,63205,"1965",1
"686","Biology",NA,21764,"1975",1
"687","Biology",NA,70768,"1980",1
"688","Medical",NA,15460,"1975",1
"689","Medical",NA,20717,"1975",1
"690","Medical",91824,22138,"1975",1
"691","Biology",1199133,146716,"1970",1
"692","Biology",2665427,70877,"1970",1
"693","Biology",37791488,69060,"1980",1
"694","Biology",24387489,30323,"1980",1
"695","Medical",NA,26189,"1975",1
"696","Medical",NA,60066,"1975",1
"697","Medical",NA,97005,"1975",1
"698","Biology",NA,677,"2005",1
"699","Biology",10738711,282,"2005",1
"700","Medical",NA,1506,"2000",1
"701","Biology",NA,632,"2000",1
"702","Biology",15113806,9801,"1990",1
"703","Medical",NA,10438,"1995",1
"704","Biology",2582388,12836,"2000",0
"705","Biology",NA,85527,"1970",1
"706","Biology",NA,586,"2010",0
"707","Biology",NA,689,"2010",1
"708","Biology",NA,753,"2000",0
"709","Biology",NA,276,"2005",0
"710","Medical",20728053,3613,"1985",1
"711","Biology",NA,1210,"2010",0
"712","Medical",NA,188,"1995",1
"713","Biology",NA,3278,"1990",1
"714","Biology",4314433,2326,"1995",1
"715","Biology",NA,787,"2005",1
"716","Medical",NA,223,"2005",1
"717","Biology",NA,354,"2010",1
"718","Medical",NA,737,"2010",1
"719","Medical",NA,1196,"2005",1
"720","Biology",NA,1067,"2010",1
"721","Medical",NA,788,"2010",1
"722","Biology",2881168,6843,"1990",1
"723","Biology",NA,602,"2005",0
"724","Medical",NA,716,"2010",1
"725","Biology",NA,267,"2005",0
"726","Medical",NA,579,"2010",1
"727","Medical",NA,2845,"2005",1
"728","Technology",NA,439,"2010",1
"729","Biology",NA,862,"2010",1
"730","Medical",NA,904,"2010",1
"731","Biology",NA,280,"2010",0
"732","Biology",NA,1031,"2010",1
"733","Biology",NA,248,"2010",0
"734","Biology",294075,2344,"2010",1
"735","Biology",NA,983,"2010",1
